name,displayname,path,scope,type,server
gg-vrslcm-admins,gg-vrslcm-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrslcm-content-admins,gg-vrslcm-content-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrslcm-content-developers,gg-vrslcm-content-developers,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-wsa-admins,gg-wsa-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-wsa-directory-admins,gg-wsa-directory-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-wsa-read-only,gg-wsa-read-only,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vcf-admins,gg-vcf-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vcf-operators,gg-vcf-operators,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vcf-viewers,gg-vcf-viewers,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vc-admins,gg-vc-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vc-read-only,gg-vc-read-only,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-sso-admins,gg-sso-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-nsx-enterprise-admins,gg-nsx-enterprise-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-nsx-network-admins,gg-nsx-network-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-nsx-auditors,gg-nsx-auditors,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrops-admins,gg-vrops-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrops-content-admins,gg-vrops-content-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrops-read-only,gg-vrops-read-only,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrli-admins,gg-vrli-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrli-users,gg-vrli-users,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vrli-viewers,gg-vrli-viewers,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vra-org-owners,gg-vra-org-owners,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
gg-vra-cloud-assembly-admins,gg-vra-cloud-assembly-admins,"OU=Security Groups,DC=vcf,DC=holo,DC=lab",Global,Security,vcfad.vcf.holo.lab
