name,displayname,path,scope,type,server
gg-vrslcm-admins,gg-vrslcm-admins,"OUPath",Global,Security,dcfqdn
gg-vrslcm-content-admins,gg-vrslcm-content-admins,"OUPath",Global,Security,dcfqdn
gg-vrslcm-content-developers,gg-vrslcm-content-developers,"OUPath",Global,Security,dcfqdn
gg-wsa-admins,gg-wsa-admins,"OUPath",Global,Security,dcfqdn
gg-wsa-directory-admins,gg-wsa-directory-admins,"OUPath",Global,Security,dcfqdn
gg-wsa-read-only,gg-wsa-read-only,"OUPath",Global,Security,dcfqdn
gg-vcf-admins,gg-vcf-admins,"OUPath",Global,Security,dcfqdn
gg-vcf-operators,gg-vcf-operators,"OUPath",Global,Security,dcfqdn
gg-vcf-viewers,gg-vcf-viewers,"OUPath",Global,Security,dcfqdn
gg-vc-admins,gg-vc-admins,"OUPath",Global,Security,dcfqdn
gg-vc-read-only,gg-vc-read-only,"OUPath",Global,Security,dcfqdn
gg-sso-admins,gg-sso-admins,"OUPath",Global,Security,dcfqdn
gg-nsx-enterprise-admins,gg-nsx-enterprise-admins,"OUPath",Global,Security,dcfqdn
gg-nsx-network-admins,gg-nsx-network-admins,"OUPath",Global,Security,dcfqdn
gg-nsx-auditors,gg-nsx-auditors,"OUPath",Global,Security,dcfqdn
gg-vrops-admins,gg-vrops-admins,"OUPath",Global,Security,dcfqdn
gg-vrops-content-admins,gg-vrops-content-admins,"OUPath",Global,Security,dcfqdn
gg-vrops-read-only,gg-vrops-read-only,"OUPath",Global,Security,dcfqdn
gg-vrli-admins,gg-vrli-admins,"OUPath",Global,Security,dcfqdn
gg-vrli-users,gg-vrli-users,"OUPath",Global,Security,dcfqdn
gg-vrli-viewers,gg-vrli-viewers,"OUPath",Global,Security,dcfqdn
gg-vra-org-owners,gg-vra-org-owners,"OUPath",Global,Security,dcfqdn
gg-vra-cloud-assembly-admins,gg-vra-cloud-assembly-admins,"OUPath",Global,Security,dcfqdn
gg-vra-cloud-assembly-users,gg-vra-cloud-assembly-users,"OUPath",Global,Security,dcfqdn
gg-vra-cloud-assembly-viewers,gg-vra-cloud-assembly-viewers,"OUPath",Global,Security,dcfqdn
gg-vra-service-broker-admins,gg-vra-service-broker-admins,"OUPath",Global,Security,dcfqdn
gg-vra-service-broker-users,gg-vra-service-broker-users,"OUPath",Global,Security,dcfqdn
gg-vra-service-broker-viewers,gg-vra-service-broker-viewers,"OUPath",Global,Security,dcfqdn
gg-vra-orchestrator-admins,gg-vra-orchestrator-admins,"OUPath",Global,Security,dcfqdn
gg-vra-orchestrator-designers,gg-vra-orchestrator-designers,"OUPath",Global,Security,dcfqdn
gg-vra-orchestrator-viewers,gg-vra-orchestrator-viewers,"OUPath",Global,Security,dcfqdn
gg-vra-project-admins-sample,gg-vra-project-admins-sample,"OUPath",Global,Security,dcfqdn
gg-vra-project-users-sample,gg-vra-project-users-sample,"OUPath",Global,Security,dcfqdn
gg-kub-admins,gg-kub-admins,"OUPath",Global,Security,dcfqdn
gg-kub-readonly,gg-kub-readonly,"OUPath",Global,Security,dcfqdn
gg-vra-codestream-admins,gg-vra-codestream-admins,"OUPath",Global,Security,dcfqdn
gg-vra-codestream-developers,gg-vra-codestream-developers,"OUPath",Global,Security,dcfqdn
gg-vra-codestream-executors,gg-vra-codestream-executors,"OUPath",Global,Security,dcfqdn
gg-vra-codestream-users,gg-vra-codestream-users,"OUPath",Global,Security,dcfqdn
gg-vra-codestream-viewers,gg-vra-codestream-viewers,"OUPath",Global,Security,dcfqdn
gg-vra-saltstack-admins,gg-vra-saltstack-admins,"OUPath",Global,Security,dcfqdn
gg-vra-saltstack-superusers,gg-vra-saltstack-superusers,"OUPath",Global,Security,dcfqdn
gg-vra-saltstack-users,gg-vra-saltstack-users,"OUPath",Global,Security,dcfqdn
